date,time,decimal_year,latitude,longitude,pressure,altitude,theta,AoA,AoA_lowerBound,AoA_upperBound,CO2,ArN2,N2O,CO,O3,H2O,CH4
2009-01-10,2:52:00,2009.025,58.9,-138.05,21018.8,10925.8143,333.08,0.64,0.1,0.1,383.67,-19.23,310.8,31.1,333.5,5.57,1756.76
2009-01-10,3:23:00,2009.025,60.14,-143.91,16139.2,12490.8682,354.68,0.99,0.1,0.1,383.18,-34.16,303.4,24.3,512,4,1721.39
2009-01-13,0:03:00,2009.033,71.08,-149.09,16182.4,12277.8184,344.36,1,0.1,0.1,383.13,-43.54,303.3,24.8,516.4,3.73,1714.1
2009-01-13,0:09:00,2009.033,70.41,-148.57,16180.5,12303.6668,346.3,1.28,0.1,0.1,382.92,-27.53,296.9,21.9,627.7,3.63,1685.15
2009-01-13,0:17:00,2009.033,69.37,-148.43,16179.1,12348.8679,349.49,0.62,0.1,0.1,383.58,-22.9,311.1,31.3,339.7,3.56,1752.17
2009-01-14,20:58:00,2009.038,54.96,-162.66,32976.2,8032.5731,311.4,0.27,0.11,0.11,384.54,-27.76,317.9,47,207.3,15.02,1789.97
2009-01-19,1:40:00,2009.05,-37.48,178.68,23251.8,10939.3814,349.83,0.25,0.11,0.11,384.5,-26.58,318.2,37.8,159.3,10.04,1767.83
2009-01-21,2:44:00,2009.055,-65.26,-176.76,26386.8,9635.9691,342.28,1.26,0.11,0.11,383.03,-11.16,297.3,18.9,265.9,4.51,1661.23
2009-01-21,2:53:00,2009.055,-64.18,-177.68,17227.9,12548.233,382.56,0.3,0.11,0.11,384.48,-28.09,317.3,36.2,213,2.88,1764.51
2009-01-21,3:03:00,2009.055,-63.07,-178.54,16181,12970.1637,385.2,1.73,0.1,0.11,382.7,-79.41,286.2,19.7,376.8,3.33,1627.61
2009-01-26,7:52:00,2009.069,-26.22,-117.03,17854.7,12939.0652,342.38,0.36,0.1,0.11,384.57,-21.35,316.1,39.3,148.7,-9999,1751.67
2009-01-26,7:55:00,2009.069,-26.28,-116.6,17858.4,12935.4361,342.04,0.35,0.1,0.1,384.71,-33.35,316.3,38.5,150.4,-9999,1752.18
2009-10-31,21:33:00,2009.833,60.72,-136.41,21770.9,10845.3204,356.02,0.11,0.11,0.11,385.44,1.8,321.4,44.2,173.5,8.8,1805.96
